订单号,日期,渠道,商品ID,商品名称,单价,数量,金额,用户ID,收货省份,订单状态
DD202402866,2024-06-06,微信小程序,P024,戴森 V12 吸尘器,3290,2.0,6580.0,U0190,黑龙江,已完成
DD202401903,2024-08-21,京东,P014,联想小新 Pro16 笔记本,5799,-2.0,-11598.0,U0152,湖北,已退款
DD202401488,20241026,天猫,P033,兰蔻 小黑瓶精华,760,5.0,3800.0,U0142,宁夏,已完成
DD202402217,2024-12-26,京东,P036,云南白药牙膏,¥39.9,3.0,119.69999999999999,U0172,辽宁,已完成
DD202401888,2024/1/10,微信小程序,P024,戴森 V12 吸尘器 ,3290,4.0,13160.0,,陕西,已完成
DD202400886,2024-04-22,微信小程序,P046,网易严选 保温杯,99,1.0,99.0,U0142,甘肃,已完成
DD202401267,2024-02-12,抖音,P034,雅诗兰黛 小棕瓶,950,-3.0,-2850.0,U0183,福建,已退款
DD202401478,2024-12-11,拼多多,P045,金龙鱼 食用油5L,89.9,1.0,89.9,U0159,浙江,已完成
DD202402343,2024-10-23,京东,P012,机械键盘87键,¥199,1.0,199.0,U0168,上海,待发货
DD202402551,2024-07-26,微信小程序,P006,RedmiK70,2499,1.0,2499.0,U0141,贵州,已完成
DD202402797,2024-07-24,天猫,P045,金龙鱼 食用油5L,89.9,4.0,359.6,U0111,江西,待发货
DD202400196,2024-12-02,拼多多,P005,荣耀 Magic6,"3,999",5.0,19995.0,U0063,贵州,已取消
DD202402378,2024-10-06,拼多多,P041,蒙牛 纯牛奶24盒,¥69.9,1.0,69.9,U0104,北京,已完成
DD202402608,2024-01-01,天猫,P025,海尔冰箱 501L,¥3999,-3.0,-11997.0,U0141,新疆,已退款
DD202401362,2024/9/6,天猫,P017,得力 文件夹,¥15.9,4.0,63.6,U0117,新疆,已完成
DD202401129,2024-04-28,天猫,P039,完美日记口红,¥89,-3.0,-267.0,U0192,云南,已退款
DD202402907,2024-06-02,拼多多,P035,欧莱雅 洗面奶,129,5.0,645.0,U0141,湖南,已完成
DD202401513,2024-06-04,天猫,P011,罗技 MX Master 3S 鼠标,699,5.0,3495.0,U0181,黑龙江,已取消
DD202400727,2024-04-05,天猫,P043,星巴克 咖啡豆,¥128,1.0,128.0,U0146,青海,已发货
DD202400136,2024/5/17,天猫,P024,戴森 V12 吸尘器,3290,1.0,3290.0,U0076,江苏,已完成
DD202402130,2024-09-30,拼多多,P015,华为平板 MatePad 11,2199,3.0,6597.0,U0078,湖北,已完成
DD202400750,2024-11-15,抖音,P010,小米 充电宝20000mAh,¥129,5.0,645.0,U0072,北京,已完成
DD202402324,2024-11-23,拼多多,P045,金龙鱼 食用油5L,¥89.9,1.0,,U0014,天津,待发货
DD202401280,2024/2/12,拼多多,P007,AirPods Pro 2,"1,899",5.0,9495.0,U0081,重庆,已完成
DD202402262,2024-12-29,天猫,P007,airpods pro 2,1899,4.0,,U0185,广西,已发货
DD202400091,2024-11-18,天猫,P047,全棉时代 浴巾,¥79,2.0,158.0,U0005,湖北,已发货
DD202400859,20240513,京东,P026,小米电视 65寸,2999,2.0,5998.0,U0057,福建,已完成
DD202400102,2024-03-25,天猫,P015,华为平板 matepad 11,¥2199,2.0,4398.0,U0055,广东,已发货
DD202402368,2024-04-12,微信小程序,P013,戴尔 U2723QE 显示器,3499,2.0,6998.0,U0188,内蒙古,已发货
DD202402268,2024-08-19,天猫,P026,小米电视 65寸,2999,2.0,5998.0,U0079,四川,已完成
DD202401504,2024-10-13,拼多多,P018,美的 1.5匹空调,2799,4.0,11196.0,U0144,天津,已完成
DD202402232,2024-02-13,京东,P034,雅诗兰黛 小棕瓶,¥950,3.0,2850.0,U0092,山东,已完成
DD202401361,2024-09-30,天猫,P024,戴森 v12 吸尘器,¥3290,2.0,6580.0,U0094,山东,已取消
DD202400272,2024-07-21,微信小程序,P023,九阳破壁机,399,4.0,1596.0,U0065,辽宁,已完成
DD202401725,2024/1/12,天猫,P042,农夫山泉 矿泉水,¥36,3.0,108.0,U0020,宁夏,已完成
DD202401561,2024-11-08,天猫,P021,米家扫地机器人,1599,4.0,6396.0,U0186,广西,已完成
DD202401396,2024-09-27,天猫,P042,农夫山泉 矿泉水,36,5.0,180.0,U0107,湖南,已完成
DD202401365,2024-04-06,京东,P022,苏泊尔电饭煲,299,2.0,598.0,U0096,内蒙古,已完成
DD202402034,2024-11-29,京东,P004,小米 14 12+256G,"4,299",-3.0,-12897.0,U0125,贵州,已退款
DD202401474,2024/6/29,天猫,P021,米家扫地机器人,¥1599,5.0,7995.0,U0072,云南,已完成
DD202402149,2024-03-05,抖音,P022,苏泊尔电饭煲,299,5.0,1495.0,U0108,湖北,已发货
DD202402426,20240112,抖音,P049,苏泊尔炒锅,159,1.0,159.0,U0082,安徽,已完成
DD202400222,2024-06-24,天猫,P045,金龙鱼 食用油5L ,89.9,5.0,449.5,U0088,河南,待发货
DD202400476,2024-09-07,拼多多,P017,得力 文件夹,¥15.9,5.0,79.5,U0149,新疆,已发货
DD202402199,2024-03-10,拼多多,P022,苏泊尔电饭煲,¥299,1.0,299.0,U0093,新疆,待发货
DD202401498,2024-04-02,抖音,P026,小米电视65寸,2999,4.0,11996.0,U0181,浙江,已完成
DD202400160,2024-12-05,抖音,P005,荣耀 Magic6,3999,,,U0097,北京,已发货
DD202401169,2024-08-29,天猫,P008,索尼 WH-1000XM5 耳机,2399,2.0,4798.0,U0001,吉林,已完成
DD202401072,2024-07-31,天猫,P018,美的 1.5匹空调,2799,3.0,8397.0,U0127,浙江,已取消
DD202401180,2024-04-01,抖音,P050,宜家收纳箱,69,4.0,276.0,U0024,,已完成
DD202402407,2024-11-25,抖音,P044,良品铺子 零食大礼包,¥139,5.0,695.0,U0161,江苏,已完成
DD202401024,2024/5/17,京东,P032,太平鸟 牛仔裤,259,,,U0086,福建,已完成
DD202401095,2024-11-09,,P018,美的 1.5匹空调,2799,-3.0,-8397.0,U0134,四川,已退款
DD202401430,2024-06-08,抖音,P031,波司登 羽绒服,1299,1.0,1299.0,U0060,湖北,已完成
DD202402753,2024-08-15,微信小程序,P047,全棉时代 浴巾,79,5.0,395.0,U0103,上海,已完成
DD202400607,2024-04-22,天猫,P001,iPhone15128G,5999,4.0,23996.0,U0004,山东,已完成
DD202401631,2024-07-13,天猫,P017,得力 文件夹,15.9,2.0,31.8,U0119,湖南,已完成
DD202401032,2024-01-17,天猫,P017,得力 文件夹,15.9,2.0,31.8,U0045,江苏,已完成
DD202401860,2024-12-08,天猫,P008,索尼 WH-1000XM5 耳机,2399,1.0,2399.0,U0089,内蒙古,已完成
DD202402053,2024-10-03,天猫,P027,优衣库 圆领T恤,79,5.0,395.0,U0174,河南,已完成
DD202401562,2024-10-31,天猫,P031,波司登 羽绒服,1299,2.0,2598.0,U0113,北京,待发货
DD202400307,2024-05-21,京东,P014,联想小新 Pro16 笔记本,¥5799,-3.0,-17397.0,U0103,宁夏,已退款
DD202402997,2024-12-09,京东,P019,海尔 10kg 滚筒洗衣机,¥1899,4.0,7596.0,U0037,江西,已完成
DD202400340,2024-11-26,天猫,P031,波司登 羽绒服,1299,0.0,,U0095,北京,已取消
DD202400405,2024-10-05,天猫,P008,索尼 WH-1000XM5 耳机,2399,4.0,4798.0,U0070,黑龙江,已发货
DD202400149,2024-05-09,京东,P016,得力 A4 打印纸,¥29.9,5.0,149.5,U0087,浙江,已完成
DD202400941,2024-12-01,抖音,P007,AirPodsPro2,1899,3.0,5697.0,U0108,江苏,待发货
DD202401445,2024-05-21,京东,P011,罗技 MX Master 3S 鼠标,¥699,2.0,1398.0,U0004,广西,已取消
DD202402175,2024-08-18,抖音,P007,AirPods Pro 2,¥1899,3.0,5697.0,U0086,上海,已完成
DD202402574,2024/10/4,拼多多,P001,iPhone 15 128G,"5,999",2.0,11998.0,U0019,吉林,已发货
DD202400209,2024/7/14,拼多多,P020,格力电风扇,¥199,4.0,796.0,U0068,黑龙江,已完成
DD202401166,2024-01-23,微信小程序,P003,华为 Mate 60 Pro,¥6999,4.0,27996.0,U0195,广西,已完成
DD202401668,2024-02-14,拼多多,P005,荣耀 Magic6,"3,999",4.0,15996.0,U0040,云南,待发货
DD202402310,,天猫,P002,iPhone 15 Pro 256G ,8999,3.0,26997.0,U0105,广西,已完成
DD202402573,2024-10-04,抖音,P039,完美日记 口红,89,-1.0,-89.0,U0029,宁夏,已退款
DD202401620,2024-12-14,天猫,P037,海飞丝 洗发水,59.9,1.0,59.9,U0144,新疆,已完成
DD202402391,2024-05-05,拼多多,P032,太平鸟 牛仔裤,259,3.0,777.0,U0015,重庆,已完成
DD202401543,2024-07-17,拼多多,P013,戴尔 U2723QE 显示器,¥3499,1.0,3499.0,U0007,四川,已取消
DD202401789,20240710,微信小程序,P045,金龙鱼 食用油5L,89.9,3.0,269.70000000000005,U0008,河北,已完成
DD202401684,2024-04-27,天猫,P029,阿迪达斯 运动外套,599,4.0,2396.0,U0037,浙江,已完成
DD202400658,20240805,拼多多,P010,小米 充电宝20000mAh ,129,-2.0,-258.0,U0068,海南,已退款
DD202401981,2024/1/28,京东,P005,荣耀 Magic6,3999,5.0,19995.0,U0191,广西,已取消
DD202401933,2024-07-18,京东,P045,金龙鱼 食用油5L ,89.9,1.0,89.9,U0004,山东,已完成
DD202402077,2024/2/28,京东,P020,格力 电风扇,199,2.0,398.0,U0161,海南,已完成
DD202401012,2024-05-18,天猫,P042,农夫山泉 矿泉水,¥36,1.0,36.0,U0100,四川,已完成
DD202400919,2024/7/6,京东,P030,南极人棉袜5双装,¥29.9,2.0,59.8,U0027,重庆,已完成
DD202400480,2024-01-22,天猫,P047,全棉时代 浴巾,79,3.0,237.0,U0128,海南,待发货
DD202402281,2024-08-05,微信小程序,P042,农夫山泉 矿泉水,¥36,5.0,180.0,U0078,上海,已发货
DD202401703,2024-07-19,拼多多,P005,荣耀 Magic6,¥3999,4.0,15996.0,U0125,宁夏,已完成
DD202400625,2024-08-02,天猫,P036,云南白药 牙膏,39.9,2.0,79.8,U0171,浙江,已完成
DD202402580,2024-08-22,拼多多,P004,小米1412+256G,4299,5.0,21495.0,U0110,福建,已完成
DD202400974,2024-01-16,天猫,P001,iPhone 15 128G,¥5999,1.0,5999.0,U0134,宁夏,已完成
DD202400454,2024/7/30,天猫,P034,雅诗兰黛 小棕瓶,950,2.0,1900.0,U0155,山东,已完成
DD202401127,2024-11-14,抖音,P018,美的1.5匹空调,2799,5.0,13995.0,U0152,上海,已完成
DD202400949,2024-05-09,京东,P021,米家扫地机器人,,3.0,,U0124,宁夏,已完成
DD202400108,2024-11-02,天猫,P022,苏泊尔电饭煲,299,2.0,598.0,U0088,海南,已完成
DD202400110,2024-12-26,微信小程序,P024,戴森 V12 吸尘器,¥3290,4.0,13160.0,U0087,贵州,已发货
DD202400027,2024-12-26,微信小程序,P040,三只松鼠坚果礼盒,99,-1.0,-99.0,U0139,新疆,已退款
DD202402887,2024-03-09,天猫,P047,全棉时代 浴巾,¥79,5.0,395.0,U0081,内蒙古,已完成
DD202401015,2024/12/7,天猫,P021,米家扫地机器人,1599,4.0,6396.0,U0081,天津,待发货
DD202402943,2024/6/19,微信小程序,P006,Redmi K70,¥2499,3.0,7497.0,U0160,福建,已发货
DD202401801,2024-02-18,天猫,P041,蒙牛 纯牛奶24盒,¥69.9,5.0,349.5,U0024,河北,待发货
DD202400815,2024-12-24,天猫,P049,苏泊尔 炒锅,¥159,2.0,318.0,U0037,黑龙江,已发货
DD202401386,2024-06-05,天猫,P025,海尔冰箱 501L,¥3999,5.0,19995.0,U0052,江苏,已完成
DD202402941,2024-09-14,京东,P040,三只松鼠 坚果礼盒,99,5.0,495.0,U0052,河北,已发货
DD202402801,2024-08-07,微信小程序,P004,小米 14 12+256G ,4299,4.0,17196.0,U0100,湖南,已完成
DD202400015,20240824,天猫,P025,海尔冰箱501L,¥3999,2.0,7998.0,U0144,广西,已完成
DD202400589,2024-03-17,天猫,P043,星巴克 咖啡豆 ,,-3.0,,,吉林,已退款
DD202400147,2024-02-15,拼多多,P048,公牛 插线板 ,49.9,5.0,249.5,U0165,吉林,已发货
DD202401001,2024-11-11,拼多多,P019,海尔10kg滚筒洗衣机,1899,-3.0,-5697.0,U0148,江苏,已退款
DD202400636,2024-08-04,天猫,P049,苏泊尔 炒锅,¥159,4.0,636.0,U0092,福建,已完成
DD202402431,2024-01-23,拼多多,P017,得力 文件夹,,3.0,,,青海,已发货
DD202400627,2024-03-16,京东,P007,airpods pro 2,1899,-2.0,-3798.0,U0045,北京,已退款
DD202400789,2024-10-28,微信小程序,P031,波司登 羽绒服,1299,2.0,1299.0,U0185,云南,已取消
DD202402723,2024-07-09,京东,P021,米家扫地机器人,1599,4.0,6396.0,U0064,贵州,已完成
DD202400251,2024/3/26,天猫,P009,小米手环8,249,-2.0,-498.0,U0067,四川,已退款
DD202400156,2024-10-31,京东,P037,海飞丝洗发水,,2.0,,U0052,新疆,已完成
DD202401559,2024-12-03,天猫,P049,苏泊尔 炒锅,159,4.0,636.0,U0132,湖南,已完成
DD202401475,2024-10-04,天猫,P039,完美日记口红,89,4.0,356.0,U0024,青海,已完成
DD202400328,2024/5/12,天猫,P042,农夫山泉 矿泉水,36,3.0,108.0,U0154,黑龙江,已完成
DD202400754,2024-02-27,京东,P042,农夫山泉 矿泉水,36,1.0,36.0,U0011,内蒙古,已完成
DD202402624,2024-06-23,微信小程序,P010,小米 充电宝20000mAh,¥129,5.0,645.0,U0163,河北,已取消
DD202400054,2024-05-13,京东,P044,良品铺子 零食大礼包,139,4.0,556.0,U0066,青海,已完成
DD202402184,2024-09-16,京东,P013,戴尔 U2723QE 显示器,¥3499,,,U0087,江苏,已完成
DD202400999,2024-04-16,天猫,P036,云南白药牙膏,39.9,1.0,39.9,U0120,贵州,已完成
DD202402935,2024-11-01,拼多多,P034,雅诗兰黛 小棕瓶,950,1.0,950.0,U0163,山西,已完成
DD202400402,2024-12-09,京东,P002,iphone 15 pro 256g,"8,999",2.0,17998.0,U0094,湖南,已完成
DD202400240,2024-12-05,京东,P015,华为平板 MatePad 11,2199,3.0,6597.0,U0134,甘肃,已完成
DD202400178,2024-07-06,拼多多,P031,波司登 羽绒服 ,1299,1.0,1299.0,U0130,北京,已取消
DD202400131,2024-12-03,京东,P050,宜家 收纳箱,69,1.0,69.0,U0033,贵州,已完成
DD202402336,2024-06-07,拼多多,P038,全棉时代 洗脸巾,49.9,2.0,99.8,U0120,北京,已完成
DD202402013,20240424,拼多多,P043,星巴克 咖啡豆,¥128,5.0,640.0,U0081,广西,已完成
DD202401369,2024-10-29,天猫,P015,华为平板 matepad 11,2199,3.0,6597.0,U0021,江苏,已发货
DD202401863,2024-10-11,京东,P041,蒙牛 纯牛奶24盒 ,¥69.9,2.0,139.8,U0113,广西,已发货
DD202402634,2024-12-10,京东,,小米 14 12+256G,4299,5.0,21495.0,U0080,内蒙古,已完成
DD202400414,2024-03-12,京东,P046,网易严选 保温杯,¥99,5.0,495.0,U0052,江西,已完成
DD202400930,2024-11-14,天猫,P041,蒙牛 纯牛奶24盒,69.9,5.0,349.5,U0080,江苏,待发货
DD202400684,2024/11/26,京东,P024,戴森 V12 吸尘器,¥3290,1.0,3290.0,U0176,海南,已完成
DD202402247,2024-03-02,天猫,P009,小米手环8,¥249,5.0,1245.0,U0181,内蒙古,已完成
DD202402926,2024-12-30,抖音,P009,小米手环8,249,5.0,1245.0,U0072,湖南,已完成
DD202402830,20240127,京东,P017,得力 文件夹 ,15.9,2.0,31.8,U0189,浙江,已发货
DD202401629,2024-06-29,京东,P020,格力 电风扇,199,1.0,199.0,U0075,山西,已完成
DD202401711,2024-07-23,抖音,P021,米家扫地机器人,1599,2.0,3198.0,U0037,湖北,已完成
DD202400062,2024-07-12,京东,P023,九阳破壁机,¥399,5.0,1995.0,U0056,福建,已完成
DD202400594,2024-05-24,微信小程序,P015,华为平板 MatePad 11,2199,2.0,4398.0,U0195,辽宁,已完成
DD202400213,2024/5/11,天猫,P020,格力 电风扇,199,1.0,199.0,U0148,河南,已取消
DD202400624,2024-02-19,天猫,P032,太平鸟 牛仔裤,259,5.0,1295.0,U0162,湖南,已发货
DD202401374,2024-11-24,拼多多,P001,iPhone 15 128G,5999,1.0,,U0090,云南,已完成
DD202400206,2024/1/22,抖音,P001,iPhone 15 128G,¥5999,3.0,17997.0,U0027,四川,已发货
DD202402645,2024-01-10,拼多多,P020,格力 电风扇,199,5.0,995.0,,内蒙古,已完成
DD202400603,2024/1/21,京东,P001,iPhone15128G,5999,3.0,17997.0,U0101,重庆,已取消
DD202401807,2024-12-23,拼多多,P003,华为 Mate 60 Pro,6999,5.0,17497.5,U0047,新疆,已发货
DD202401379,20240822,拼多多,P035,欧莱雅 洗面奶 ,129,2.0,258.0,U0075,新疆,待发货
DD202402088,2024-08-17,天猫,,李宁 跑步鞋,399,5.0,1995.0,U0130,黑龙江,已完成
DD202401279,2024-05-10,天猫,P045,金龙鱼 食用油5L,89.9,2.0,179.8,U0011,云南,已完成
DD202400255,2024-08-01,天猫,P015,华为平板 MatePad 11,"2,199",4.0,8796.0,U0105,吉林,待发货
DD202402406,2024-02-22,天猫,P034,雅诗兰黛 小棕瓶,950,5.0,4750.0,U0085,天津,已完成
DD202401683,2024/2/7,天猫,P015,华为平板 MatePad 11,2199,3.0,6597.0,U0011,贵州,已取消
DD202400365,20240604,天猫,P002,iPhone 15 Pro 256G,8999,5.0,44995.0,U0025,内蒙古,已完成
DD202402668,2024-11-20,拼多多,P039,完美日记 口红,89,5.0,445.0,U0173,湖南,已取消
DD202401783,2024-06-23,拼多多,P011,罗技 MX Master 3S 鼠标,699,,,U0115,吉林,已取消
DD202400829,2024-12-27,天猫,P028,李宁 跑步鞋 ,399,3.0,1197.0,U0089,辽宁,已完成
DD202402119,2024-06-19,天猫,P039,完美日记 口红,89,5.0,222.5,U0069,江苏,待发货
DD202401741,2024/4/17,微信小程序,P038,全棉时代 洗脸巾,49.9,5.0,249.5,U0160,青海,已完成
DD202401846,20240328,天猫,P043,星巴克 咖啡豆,128,5.0,640.0,U0073,北京,已完成
DD202400422,2024-10-23,拼多多,P039,完美日记 口红,¥89,3.0,267.0,U0145,上海,已完成
DD202401209,2024-11-27,,P040,三只松鼠 坚果礼盒,,1.0,,U0154,青海,待发货
DD202401900,2024-06-07,京东,P039,完美日记 口红,89,4.0,356.0,U0081,湖南,已完成
DD202401935,2024-01-31,拼多多,P017,得力 文件夹,15.9,2.0,31.8,U0090,安徽,已完成
DD202401745,2024-02-01,抖音,P006,Redmi K70 ,2499,2.0,4998.0,U0014,广西,已完成
DD202400393,20240110,拼多多,P020,格力 电风扇 ,199,1.0,199.0,U0008,重庆,已完成
DD202401986,2024-06-07,微信小程序,P028,李宁 跑步鞋,399,,,U0014,福建,已完成
DD202402329,2024-06-30,抖音,P001,iPhone 15 128G,5999,5.0,29995.0,U0115,安徽,已完成
DD202400531,2024-12-17,天猫,P014,联想小新 Pro16 笔记本,¥5799,5.0,28995.0,U0170,江苏,已发货
DD202401041,2024-11-26,天猫,P023,九阳破壁机,¥399,4.0,1596.0,U0190,宁夏,已完成
DD202400953,2024/12/7,京东,P029,阿迪达斯 运动外套,599,5.0,2995.0,U0063,四川,已完成
DD202402190,2024-06-28,抖音,P014,联想小新 pro16 笔记本,¥5799,5.0,28995.0,U0037,安徽,已发货
DD202400368,2024-08-08,天猫,P006,redmi k70,¥2499,2.0,4998.0,U0191,河南,已发货
DD202401984,2024-06-10,京东,P042,农夫山泉 矿泉水,,2.0,,U0029,山东,已发货
DD202402076,2024-02-05,拼多多,P002,iPhone 15 Pro 256G,8999,1.0,8999.0,U0074,湖北,已完成
DD202401987,2024-02-15,天猫,P049,苏泊尔 炒锅,¥159,-1.0,-159.0,U0153,河北,已退款
DD202400168,2024-06-22,抖音,P043,星巴克 咖啡豆,¥128,4.0,512.0,U0092,广西,已完成
DD202401977,2024-04-11,天猫,P017,得力 文件夹 ,15.9,3.0,47.7,U0073,上海,待发货
DD202400259,2024-10-14,京东,P011,罗技 MX Master 3S 鼠标,699,5.0,3495.0,U0136,贵州,待发货
DD202402924,2024/12/30,天猫,P035,欧莱雅 洗面奶,129,1.0,129.0,U0035,山西,已完成
DD202400921,2024-08-11,天猫,P003,华为 Mate 60 Pro,6999,5.0,,U0134,湖南,已完成
DD202401987,2024-02-15,天猫,P049,苏泊尔 炒锅,¥159,-1.0,-159.0,U0153,河北,已退款
DD202401419,2024/10/16,天猫,P024,戴森 V12 吸尘器,3290,3.0,9870.0,U0152,广东,已完成
DD202402747,2024-02-28,拼多多,P012,机械键盘 87键,199,4.0,796.0,U0122,河北,已取消
DD202400134,2024/3/15,天猫,,宜家收纳箱,69,-1.0,-69.0,U0194,浙江,已退款
DD202402521,2024-11-07,微信小程序,P009,小米手环8,249,4.0,996.0,U0181,甘肃,已完成
DD202402837,2024-08-27,微信小程序,P014,联想小新 Pro16 笔记本 ,5799,1.0,5799.0,U0067,云南,已完成
DD202401954,2024-11-27,微信小程序,P005,荣耀 Magic6,3999,1.0,3999.0,U0178,陕西,已取消
DD202401511,2024-08-03,京东,P039,完美日记 口红,89,1.0,89.0,U0200,重庆,已完成
DD202401657,2024-02-19,天猫,P032,太平鸟 牛仔裤,259,-2.0,-518.0,U0090,河南,已退款
DD202402648,2024-08-06,京东,P018,美的 1.5匹空调 ,2799,1.0,2799.0,U0193,黑龙江,已完成
DD202401861,2024-05-01,拼多多,P007,airpods pro 2,1899,3.0,5697.0,U0192,北京,已完成
DD202401030,2024-05-05,天猫,P007,AirPods Pro 2,1899,5.0,9495.0,U0196,黑龙江,已完成
DD202401453,2024/3/7,京东,P021,米家扫地机器人,1599,5.0,7995.0,U0084,甘肃,已完成
DD202401029,2024-06-03,拼多多,,华为Mate60Pro,,1.0,,U0032,福建,已完成
DD202401227,2024-12-19,拼多多,P039,完美日记 口红,¥89,2.0,178.0,U0035,浙江,已完成
DD202400118,2024/9/29,拼多多,P027,优衣库 圆领T恤,79,3.0,237.0,U0113,天津,已完成
DD202400256,2024/8/19,拼多多,P012,机械键盘 87键,199,3.0,597.0,U0084,青海,待发货
DD202400425,2024-08-11,京东,P007,AirPodsPro2,¥1899,4.0,7596.0,U0007,北京,已完成
DD202401548,2024-10-24,京东,P004,小米 14 12+256G,4299,5.0,21495.0,U0007,福建,已完成
DD202401946,2024-08-14,天猫,P013,戴尔 U2723QE 显示器,"3,499",4.0,13996.0,U0096,辽宁,已完成
DD202401056,2024-08-17,京东,P045,金龙鱼 食用油5L,89.9,4.0,359.6,U0029,海南,已完成
DD202402766,2024/2/1,天猫,P024,戴森 V12 吸尘器,3290,3.0,9870.0,U0162,宁夏,已取消
DD202400326,20241201,天猫,P043,星巴克 咖啡豆,128,5.0,640.0,U0172,黑龙江,已完成
DD202400225,2024-05-15,微信小程序,P049,苏泊尔 炒锅,159,5.0,795.0,U0107,陕西,已完成
DD202402224,2024-10-09,拼多多,,三只松鼠 坚果礼盒,99,5.0,495.0,U0178,河北,已完成
DD202402781,2024-06-25,天猫,P003,华为Mate60Pro,6999,-1.0,-6999.0,U0056,青海,已退款
DD202402538,2024-06-02,天猫,P028,李宁 跑步鞋 ,¥399,2.0,798.0,U0186,内蒙古,已发货
DD202401535,2024/4/20,,P021,米家扫地机器人,1599,2.0,3198.0,U0138,宁夏,已取消
DD202401656,2024/2/25,微信小程序,P018,美的 1.5匹空调,2799,2.0,5598.0,U0150,上海,待发货
DD202402677,2024-10-05,拼多多,P018,美的 1.5匹空调,2799,3.0,8397.0,U0147,吉林,已完成
DD202402241,2024-06-15,微信小程序,P044,良品铺子 零食大礼包,139,5.0,695.0,U0117,海南,已完成
DD202402236,2024-03-04,抖音,P008,索尼 WH-1000XM5 耳机,2399,5.0,11995.0,U0147,甘肃,已发货
DD202401582,2024-07-25,京东,P029,阿迪达斯 运动外套,¥599,3.0,1797.0,U0043,青海,已完成
DD202402687,2024-03-14,抖音,P021,米家扫地机器人,"1,599",-1.0,-799.5,U0185,福建,已退款
DD202400166,2024-05-09,微信小程序,P042,农夫山泉矿泉水,36,5.0,180.0,U0004,黑龙江,已完成
DD202402817,2024-02-24,拼多多,P029,阿迪达斯 运动外套,599,2.0,1198.0,U0151,北京,已发货
DD202401919,2024-01-06,拼多多,P022,苏泊尔电饭煲,¥299,2.0,598.0,U0185,新疆,已发货
DD202402969,2024-02-11,拼多多,P021,米家扫地机器人,¥1599,2.0,3198.0,U0079,宁夏,已完成
DD202402334,2024-01-14,京东,P010,小米 充电宝20000mAh ,¥129,5.0,645.0,U0150,天津,待发货
DD202402819,2024/7/12,天猫,P015,华为平板 matepad 11,2199,5.0,10995.0,U0158,内蒙古,已完成
DD202401847,2024-03-10,拼多多,P005,荣耀 Magic6,,5.0,,U0064,浙江,已完成
DD202402891,2024-04-27,微信小程序,P027,优衣库 圆领T恤,79,-3.0,-237.0,U0048,广西,已退款
DD202400712,2024-08-31,京东,P032,太平鸟 牛仔裤,259,1.0,259.0,U0105,山东,已发货
DD202402327,2024-02-18,微信小程序,P022,苏泊尔电饭煲,¥299,2.0,598.0,U0110,安徽,已完成
DD202402836,2024/10/27,微信小程序,P018,美的 1.5匹空调,"2,799",5.0,13995.0,U0091,山东,已完成
DD202401941,2024-01-29,天猫,P010,小米 充电宝20000mah,129,2.0,258.0,U0180,江苏,已完成
DD202402317,2024-11-22,天猫,P021,米家扫地机器人,¥1599,4.0,6396.0,U0047,内蒙古,已完成
DD202401805,2024/7/7,抖音,P048,公牛 插线板,49.9,4.0,199.6,U0140,内蒙古,已完成
DD202401452,2024/6/14,京东,P039,完美日记 口红,89,3.0,267.0,U0182,内蒙古,已完成
DD202402117,2024-05-26,抖音,P003,华为Mate60Pro,"6,999",5.0,34995.0,U0188,福建,已完成
DD202402367,2024-08-08,天猫,P024,戴森 V12 吸尘器,,,,U0095,北京,已退款
DD202402349,2024/9/16,天猫,P033,兰蔻小黑瓶精华,760,-2.0,-1520.0,U0168,浙江,已退款
DD202402643,2024-04-02,京东,P031,波司登 羽绒服,¥1299,4.0,5196.0,U0152,湖北,已完成
DD202400753,2024-07-18,微信小程序,P048,公牛 插线板,49.9,0.0,,U0120,安徽,已完成
DD202402474,2024/9/20,京东,P040,三只松鼠 坚果礼盒,99,4.0,396.0,U0176,广东,待发货
DD202402543,2024-11-20,抖音,P022,苏泊尔电饭煲,299,3.0,448.5,U0181,山西,已完成
DD202402146,2024-11-26,微信小程序,P020,格力 电风扇,¥199,4.0,796.0,U0036,海南,已完成
DD202400605,2024-02-05,拼多多,P033,兰蔻 小黑瓶精华,760,4.0,3040.0,U0076,广东,已完成
DD202401993,2024-11-22,京东,P023,九阳破壁机,399,1.0,399.0,U0085,北京,待发货
DD202400427,2024/11/17,天猫,P009,小米手环8,249,3.0,747.0,U0037,云南,待发货
DD202400142,2024-09-15,天猫,P035,欧莱雅 洗面奶,¥129,1.0,129.0,U0063,河北,已完成
DD202401159,2024-08-28,天猫,P028,李宁 跑步鞋,¥399,-3.0,-1197.0,U0099,黑龙江,已退款
DD202400864,2024-03-03,微信小程序,P013,戴尔 U2723QE 显示器,,3.0,,U0012,黑龙江,已完成
DD202400590,2024-10-03,抖音,P026,小米电视 65寸,2999,5.0,14995.0,U0145,吉林,已完成
DD202401376,2024-03-12,抖音,P003,华为 Mate 60 Pro,"6,999",2.0,13998.0,U0116,天津,已完成
DD202402604,2024-04-11,天猫,P021,米家扫地机器人,1599,2.0,3198.0,U0001,安徽,已完成
DD202402071,2024-10-01,拼多多,P013,戴尔 U2723QE 显示器,3499,2.0,6998.0,,青海,已完成
DD202402705,2024-07-28,京东,P040,三只松鼠 坚果礼盒,99,,,U0102,宁夏,已完成
